"Cafe","Indice_0_100"
"740",64.61
"636",64.59
"668",64.58
"644",64.57
"473",64.56
"532",64.55
"539",64.55
"593",64.55
"645",64.54
"397",64.52
"345",64.51
"580",64.49
"575",64.43
"667",64.38
"752",64.38
"762",64.38
"781",64.38
"664",64.35
"687",64.35
"611",64.33
"589",64.31
"738",64.31
"534",64.29
"614",64.29
"553",64.28
"598",64.27
"19",64.26
"613",64.25
"800",64.22
"346",64.2
"17",64.19
"807",64.19
"432",64.17
"594",64.15
"536",64.14
"583",64.14
"681",64.11
"560",64.09
"805",64.09
"458",64.08
"610",64.08
"691",64.08
"670",64.07
"848",64.06
"778",64.03
"20",64.02
"716",64
"635",63.98
"683",63.96
"810",63.96
"429",63.94
"604",63.93
"625",63.93
"735",63.93
"608",63.92
"689",63.92
"445",63.91
"607",63.89
"609",63.89
"682",63.87
"739",63.87
"460",63.86
"699",63.86
"493",63.81
"688",63.81
"881",63.77
"711",63.76
"622",63.75
"649",63.75
"487",63.73
"766",63.72
"461",63.68
"638",63.66
"712",63.66
"623",63.65
"494",63.63
"495",63.63
"653",63.63
"715",63.62
"731",63.62
"868",63.58
"912",63.56
"737",63.52
"736",63.5
"663",63.46
"701",63.46
"499",63.42
"813",63.42
"497",63.35
"475",63.34
"488",63.34
"548",63.33
"662",63.33
"759",63.33
"674",63.32
"742",63.32
"761",63.3
"452",63.27
"763",63.24
"783",63.23
"791",63.22
"822",63.2
"790",63.18
"582",63.11
"880",63.08
"549",63.07
"770",63.07
"685",63.05
"905",63.05
"1018",63.04
"814",63.03
"785",62.99
"861",62.99
"794",62.98
"584",62.96
"698",62.96
"789",62.96
"518",62.93
"834",62.89
"836",62.89
"547",62.83
"646",62.81
"705",62.81
"898",62.81
"832",62.78
"707",62.76
"788",62.75
"808",62.74
"886",62.73
"630",62.71
"879",62.7
"692",62.62
"694",62.62
"706",62.59
"704",62.57
"570",62.55
"702",62.53
"872",62.53
"758",62.52
"812",62.47
"867",62.47
"949",62.45
"825",62.4
"713",62.39
"806",62.36
"617",62.35
"773",62.32
"603",62.31
"743",62.29
"799",62.29
"831",62.29
"863",62.29
"842",62.26
"802",62.25
"811",62.25
"568",62.24
"640",62.24
"839",62.24
"749",62.23
"750",62.23
"571",62.22
"746",62.22
"838",62.21
"629",62.2
"828",62.19
"830",62.16
"744",62.14
"795",62.14
"847",62.12
"602",62.11
"755",62.1
"605",62.09
"897",62.07
"569",62.03
"1122",62.03
"628",62.01
"809",62
"826",61.99
"841",61.99
"815",61.97
"751",61.89
"765",61.83
"775",61.82
"23",61.81
"793",61.8
"882",61.78
"771",61.77
"874",61.77
"656",61.76
"647",61.75
"655",61.74
"860",61.72
"850",61.68
"961",61.68
"821",61.66
"910",61.59
"864",61.5
"885",61.49
"1037",61.49
"678",61.47
"769",61.47
"876",61.45
"977",61.38
"679",61.36
"673",61.32
"719",61.32
"990",61.32
"798",61.31
"903",61.29
"835",61.25
"927",61.25
"695",61.22
"690",61.21
"827",61.21
"890",61.21
"938",61.19
"844",61.18
"684",61.1
