"","Species","CountryOrigin","FragranceAroma","Flavor","Aftertaste","SaltAcid","Mouthfeel","Balance","BitterSweet","UniformCup","CleanCup","CupperPoints","qualityscore","clust"
"129","Arabica","Kenya",8.17,7.83,7.92,7.75,7.83,10,7.67,10,10,7.83,85,"6"
"130","Arabica","Kenya",7.75,7.83,7.75,8.08,7.75,10,8,10,10,7.83,85,"6"
"131","Arabica","Brazil",8,8,7.83,7.83,7.67,10,7.67,10,10,8,85,"5"
"132","Arabica","Mexico",7.92,8.17,7.75,8.08,7.83,10,7.42,10,10,7.83,85,"5"
"133","Arabica","United States (Hawaii)",7.75,7.92,7.75,7.75,8,10,8,10,10,7.83,85,"3"
"134","Arabica","Guatemala",7.83,8.08,7.67,8,7.67,10,7.75,10,10,8,85,"6"
"135","Arabica","Colombia",7.92,7.92,7.67,7.83,7.83,10,7.92,10,10,7.83,84.92,"5"
"136","Arabica","Colombia",7.92,7.83,7.75,7.83,8,10,7.75,10,10,7.83,84.92,"5"
"137","Arabica","Taiwan",7.67,7.83,8,7.58,7.92,10,8,10,10,7.92,84.92,"5"
"138","Arabica","Tanzania, United Republic Of",8,7.83,7.83,7.92,7.75,10,7.75,10,10,7.83,84.92,"5"
"139","Arabica","Colombia",7.75,7.92,7.83,7.75,8,10,7.75,10,10,7.92,84.92,"5"
"140","Arabica","Mexico",7.75,8,7.75,7.83,7.92,10,7.5,10,10,8.17,84.92,"5"
"141","Arabica","Brazil",8,7.92,7.75,7.75,7.75,10,8,10,10,7.75,84.92,"5"
"142","Arabica","Brazil",8,8,7.75,8,7.75,10,7.5,10,10,7.92,84.92,"5"
"143","Arabica","Kenya",8,7.67,7.83,8.17,7.75,10,7.92,10,10,7.58,84.92,"6"
"144","Arabica","Taiwan",7.92,7.58,7.83,7.83,7.83,10,7.83,10,10,8,84.83,"5"
"145","Arabica","Uganda",7.75,7.92,7.67,7.67,7.75,10,8.25,10,10,7.83,84.83,"6"
"146","Arabica","United States (Hawaii)",7.67,7.75,7.75,7.75,8,10,7.83,10,10,8.08,84.83,"3"
"147","Arabica","Ethiopia",7.75,7.92,7.83,7.92,7.67,10,7.75,10,10,8,84.83,"6"
"148","Arabica","Ethiopia",7.42,7.92,7.92,8,7.83,10,7.83,10,10,7.92,84.83,"6"
"149","Arabica","Thailand",7.75,7.75,7.75,7.75,7.75,10,8,10,10,8,84.75,"5"
"150","Arabica","Kenya",7.92,7.83,7.58,7.92,7.83,10,7.75,10,10,7.92,84.75,"6"
"151","Arabica","Honduras",7.83,7.75,8,7.67,7.67,10,7.67,10,10,8.17,84.75,"5"
"152","Arabica","El Salvador",7.75,8,8,8.33,7.92,9.33,7.67,10,10,7.75,84.75,"6"
"153","Arabica","Nicaragua",7.83,7.58,7.58,7.83,7.67,10,7.75,10,10,8.5,84.75,"5"
"154","Arabica","El Salvador",7.83,7.83,7.5,8,7.67,10,7.83,10,10,8,84.67,"6"
"155","Arabica","Indonesia",7.92,7.83,7.75,7.75,7.75,10,7.75,10,10,7.92,84.67,"6"
